Iteration = 224000 | Total steps: 21-69-113 | Min: 0.19 | Avg: 19.76 | Max: 104.72 [CHECK POINT]
Iteration = 225000 | Total steps: 26-50-89 | Min: 0.93 | Avg: 8.43 | Max: 17.76
Iteration = 226000 | Total steps: 27-53-93 | Min: 1.80 | Avg: 9.68 | Max: 32.89
Iteration = 227000 | Total steps: 30-53-110 | Min: 1.34 | Avg: 6.46 | Max: 27.40
Iteration = 228000 | Total steps: 36-61-113 | Min: 2.93 | Avg: 7.65 | Max: 20.78
Iteration = 229000 | Total steps: 20-48-69 | Min: 2.35 | Avg: 7.27 | Max: 21.42
Iteration = 230000 | Total steps: 39-55-79 | Min: 1.79 | Avg: 7.68 | Max: 27.27
Iteration = 231000 | Total steps: 21-52-102 | Min: 0.19 | Avg: 5.73 | Max: 21.75
Iteration = 232000 | Total steps: 16-42-71 | Min: 0.10 | Avg: 3.71 | Max: 9.12
Iteration = 233000 | Total steps: 16-45-76 | Min: 0.10 | Avg: 16.49 | Max: 70.88
Iteration = 234000 | Total steps: 18-36-86 | Min: 0.38 | Avg: 4.33 | Max: 23.04
Iteration = 235000 | Total steps: 16-45-66 | Min: 0.10 | Avg: 3.83 | Max: 8.04
Iteration = 236000 | Total steps: 19-48-95 | Min: 0.56 | Avg: 4.87 | Max: 19.45
Iteration = 237000 | Total steps: 16-47-80 | Min: 0.10 | Avg: 5.57 | Max: 20.48
Iteration = 238000 | Total steps: 18-52-96 | Min: 0.36 | Avg: 6.90 | Max: 30.06
Iteration = 239000 | Total steps: 19-43-78 | Min: 0.49 | Avg: 6.63 | Max: 23.06
Iteration = 240000 | Total steps: 30-57-88 | Min: 1.89 | Avg: 8.78 | Max: 34.51
Iteration = 241000 | Total steps: 22-52-85 | Min: 0.20 | Avg: 6.52 | Max: 25.11
Iteration = 242000 | Total steps: 41-56-76 | Min: 2.00 | Avg: 6.79 | Max: 14.64
Iteration = 243000 | Total steps: 28-53-76 | Min: 3.72 | Avg: 13.39 | Max: 69.55
Iteration = 244000 | Total steps: 26-43-82 | Min: 1.18 | Avg: 3.20 | Max: 8.35
Iteration = 245000 | Total steps: 16-48-83 | Min: 0.10 | Avg: 6.28 | Max: 19.18
Iteration = 246000 | Total steps: 26-59-94 | Min: 0.60 | Avg: 8.50 | Max: 23.58
Iteration = 247000 | Total steps: 31-61-85 | Min: 1.81 | Avg: 7.22 | Max: 18.81
Iteration = 248000 | Total steps: 32-50-65 | Min: 1.70 | Avg: 6.02 | Max: 17.72
Iteration = 249000 | Total steps: 16-64-128 | Min: 0.10 | Avg: 8.64 | Max: 27.03
Iteration = 250000 | Total steps: 35-65-91 | Min: 2.72 | Avg: 6.33 | Max: 10.38
Iteration = 251000 | Total steps: 25-58-121 | Min: 0.96 | Avg: 17.66 | Max: 117.75
Iteration = 252000 | Total steps: 22-53-100 | Min: 0.57 | Avg: 6.62 | Max: 25.49
Iteration = 253000 | Total steps: 28-60-91 | Min: 1.70 | Avg: 7.72 | Max: 19.76
Iteration = 254000 | Total steps: 16-57-96 | Min: 0.10 | Avg: 4.97 | Max: 9.12
Iteration = 255000 | Total steps: 31-48-85 | Min: 1.71 | Avg: 4.19 | Max: 9.65
Iteration = 256000 | Total steps: 30-64-92 | Min: 2.19 | Avg: 6.51 | Max: 10.78
Iteration = 257000 | Total steps: 61-77-93 | Min: 4.54 | Avg: 12.95 | Max: 36.91
Iteration = 258000 | Total steps: 22-53-72 | Min: 0.20 | Avg: 8.61 | Max: 20.84
Iteration = 259000 | Total steps: 19-45-67 | Min: 0.62 | Avg: 5.85 | Max: 21.08
Iteration = 260000 | Total steps: 27-50-84 | Min: 0.81 | Avg: 4.91 | Max: 8.70
Iteration = 261000 | Total steps: 23-50-88 | Min: 0.66 | Avg: 5.08 | Max: 17.53
Iteration = 262000 | Total steps: 16-51-80 | Min: 0.10 | Avg: 3.67 | Max: 8.26
Iteration = 263000 | Total steps: 28-53-104 | Min: 2.16 | Avg: 7.88 | Max: 39.55
Iteration = 264000 | Total steps: 18-48-78 | Min: 0.14 | Avg: 8.46 | Max: 46.78
Iteration = 265000 | Total steps: 20-49-100 | Min: 1.00 | Avg: 6.51 | Max: 36.16
Iteration = 266000 | Total steps: 19-37-55 | Min: 0.50 | Avg: 2.63 | Max: 5.08
